"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"39",2014,"Malaysian Grand Prix","sutil","Sauber","Ferrari",0,122.131,NA,NA,NA,117.183,4.94799999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"40",2014,"Malaysian Grand Prix","vergne","Toro Rosso","Renault",0,121.689,NA,NA,NA,117.183,4.50599999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"41",2014,"Malaysian Grand Prix","jules_bianchi","Marussia","Ferrari",0,122.702,NA,NA,NA,117.183,5.51899999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"42",2014,"Malaysian Grand Prix","maldonado","Lotus","Renault",0,122.074,NA,NA,NA,117.183,4.89099999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"43",2014,"Malaysian Grand Prix","perez","Force India","Mercedes",0,120.076,NA,NA,NA,117.183,2.89299999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"44",2014,"Bahrain Grand Prix","hamilton","Mercedes","Mercedes",1,95.323,NA,NA,NA,94.874,0.448999999999998,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"45",2014,"Bahrain Grand Prix","rosberg","Mercedes","Mercedes",1,95.439,NA,NA,NA,94.874,0.564999999999998,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"46",2014,"Bahrain Grand Prix","perez","Force India","Mercedes",0,94.998,NA,NA,NA,94.874,0.124000000000009,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"47",2014,"Bahrain Grand Prix","ricciardo","Red Bull","Renault",0,96.22,NA,NA,NA,94.874,1.346,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"48",2014,"Bahrain Grand Prix","hulkenberg","Force India","Mercedes",0,94.874,NA,NA,NA,94.874,0,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"49",2014,"Bahrain Grand Prix","vettel","Red Bull","Renault",0,95.549,NA,NA,NA,94.874,0.675000000000011,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"50",2014,"Bahrain Grand Prix","massa","Williams","Mercedes",0,95.085,NA,NA,NA,94.874,0.210999999999999,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"51",2014,"Bahrain Grand Prix","bottas","Williams","Mercedes",0,94.934,NA,NA,NA,94.874,0.0600000000000023,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
