Year,EventName,EventDate,Driver,Team,LapTime,FullThrottlePct
2021,Spanish Grand Prix,2021-05-09,HAM,Mercedes,0 days 00:01:16.741000,62.14605067064084
2021,Monaco Grand Prix,2021-05-23,LEC,Ferrari,0 days 00:01:10.346000,43.66883116883117
2021,Azerbaijan Grand Prix,2021-06-06,LEC,Ferrari,0 days 00:01:41.218000,61.31221719457014
2021,French Grand Prix,2021-06-20,VER,Red Bull Racing,0 days 00:01:29.990000,59.796437659033074
2021,Styrian Grand Prix,2021-06-27,VER,Red Bull Racing,0 days 00:01:03.841000,70.6618962432916
2021,Austrian Grand Prix,2021-07-04,VER,Red Bull Racing,0 days 00:01:03.720000,70.5989110707804
2021,British Grand Prix,2021-07-18,HAM,Mercedes,0 days 00:01:26.023000,68.1757656458056
2021,Hungarian Grand Prix,2021-08-01,HAM,Mercedes,0 days 00:01:15.419000,54.6969696969697
2021,Belgian Grand Prix,2021-08-29,NOR,McLaren,0 days 00:01:56.025000,53.405725567620934
2021,Dutch Grand Prix,2021-09-05,VER,Red Bull Racing,0 days 00:01:08.885000,62.12624584717608
2021,Italian Grand Prix,2021-09-12,BOT,Mercedes,0 days 00:01:19.555000,76.54676258992805
2021,Russian Grand Prix,2021-09-26,NOR,McLaren,0 days 00:01:41.993000,56.40449438202248
2021,Turkish Grand Prix,2021-10-10,HAM,Mercedes,0 days 00:01:22.868000,66.62068965517241
2021,United States Grand Prix,2021-10-24,VER,Red Bull Racing,0 days 00:01:32.910000,59.04645476772616
2021,Mexico City Grand Prix,2021-11-07,BOT,Mercedes,0 days 00:01:15.875000,50.0
2021,São Paulo Grand Prix,2021-11-14,HAM,Mercedes,0 days 00:01:07.934000,61.10154905335629
2021,Qatar Grand Prix,2021-11-21,HAM,Mercedes,0 days 00:01:20.827000,69.16548797736917
2021,Saudi Arabian Grand Prix,2021-12-05,HAM,Mercedes,0 days 00:01:27.511000,66.8848167539267
2021,Abu Dhabi Grand Prix,2021-12-12,VER,Red Bull Racing,0 days 00:01:22.109000,65.22948539638386
2022,Pre-Season Track Session,2022-02-25,VER,Red Bull Racing,0 days 00:01:39.129000,50.53050397877984
2022,Pre-Season Test,2022-03-12,SAI,Ferrari,0 days 00:01:34.356000,55.932203389830505
2022,Bahrain Grand Prix,2022-03-20,LEC,Ferrari,0 days 00:01:30.558000,63.271162123385935
2022,Saudi Arabian Grand Prix,2022-03-27,PER,Red Bull Racing,0 days 00:01:28.200000,72.07207207207207
2022,Australian Grand Prix,2022-04-10,LEC,Ferrari,0 days 00:01:17.868000,70.8904109589041
2022,Emilia Romagna Grand Prix,2022-04-24,VER,Red Bull Racing,0 days 00:01:18.793000,65.23178807947019
2022,Miami Grand Prix,2022-05-08,LEC,Ferrari,0 days 00:01:28.796000,54.13533834586466
2022,Spanish Grand Prix,2022-05-22,LEC,Ferrari,0 days 00:01:18.750000,56.414473684210535
2022,Monaco Grand Prix,2022-05-29,LEC,Ferrari,0 days 00:01:11.376000,43.73831775700935
2022,Azerbaijan Grand Prix,2022-06-12,LEC,Ferrari,0 days 00:01:41.359000,62.83870967741936
2022,Canadian Grand Prix,2022-06-19,VER,Red Bull Racing,0 days 00:01:21.299000,50.477707006369435
2022,British Grand Prix,2022-07-03,VER,Red Bull Racing,0 days 00:01:39.129000,50.53050397877984
2022,Austrian Grand Prix,2022-07-10,VER,Red Bull Racing,0 days 00:01:04.984000,65.92741935483872
2022,French Grand Prix,2022-07-24,LEC,Ferrari,0 days 00:01:30.872000,61.05417276720352
2022,Hungarian Grand Prix,2022-07-31,RUS,Mercedes,0 days 00:01:17.377000,53.20623916811091
2022,Belgian Grand Prix,2022-08-28,VER,Red Bull Racing,0 days 00:01:43.665000,66.11675126903553
2022,Dutch Grand Prix,2022-09-04,VER,Red Bull Racing,0 days 00:01:10.342000,59.143968871595334
2022,Italian Grand Prix,2022-09-11,LEC,Ferrari,0 days 00:01:20.161000,73.51524879614767
2022,Singapore Grand Prix,2022-10-02,LEC,Ferrari,0 days 00:01:49.412000,35.39192399049881
2022,Japanese Grand Prix,2022-10-09,VER,Red Bull Racing,0 days 00:01:29.304000,62.82245827010622
2022,United States Grand Prix,2022-10-23,SAI,Ferrari,0 days 00:01:34.356000,55.932203389830505
2022,Mexico City Grand Prix,2022-10-30,VER,Red Bull Racing,0 days 00:01:17.775000,46.308724832214764
2022,São Paulo Grand Prix,2022-11-13,VER,Red Bull Racing,0 days 00:01:10.881000,56.26168224299065
2022,Abu Dhabi Grand Prix,2022-11-20,VER,Red Bull Racing,0 days 00:01:23.824000,63.24921135646687
2023,Pre-Season Testing,2023-02-25,VER,Red Bull Racing,0 days 00:01:26.720000,67.15976331360946
2023,Bahrain Grand Prix,2023-03-05,VER,Red Bull Racing,0 days 00:01:29.708000,61.92660550458715
2023,Saudi Arabian Grand Prix,2023-03-19,PER,Red Bull Racing,0 days 00:01:28.265000,75.0
2023,Australian Grand Prix,2023-04-02,VER,Red Bull Racing,0 days 00:01:16.732000,69.70198675496688
2023,Azerbaijan Grand Prix,2023-04-30,LEC,Ferrari,0 days 00:01:40.203000,62.94820717131474
2023,Miami Grand Prix,2023-05-07,VER,Red Bull Racing,0 days 00:01:26.814000,57.207890743550834
2023,Monaco Grand Prix,2023-05-28,VER,Red Bull Racing,0 days 00:01:11.365000,43.21223709369025
2023,Spanish Grand Prix,2023-06-04,VER,Red Bull Racing,0 days 00:01:12.272000,66.66666666666666
