Year,EventName,DriverId,TeamName,engine,works,Q1time
2014,Hungarian Grand Prix,ricciardo,Red Bull,Renault,0,85.495
2014,Hungarian Grand Prix,alonso,Ferrari,Ferrari,1,86.087
2014,Hungarian Grand Prix,hamilton,Mercedes,Mercedes,1,NA
2014,Hungarian Grand Prix,rosberg,Mercedes,Mercedes,1,85.227
2014,Hungarian Grand Prix,massa,Williams,Mercedes,0,86.592
2014,Hungarian Grand Prix,raikkonen,Ferrari,Ferrari,1,86.792
2014,Hungarian Grand Prix,vettel,Red Bull,Renault,0,85.662
2014,Hungarian Grand Prix,bottas,Williams,Mercedes,0,85.69
2014,Hungarian Grand Prix,vergne,Toro Rosso,Renault,0,84.941
2014,Hungarian Grand Prix,button,McLaren,Mercedes,0,86.612
2014,Hungarian Grand Prix,sutil,Sauber,Ferrari,0,86.027
2014,Hungarian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,86.578
2014,Hungarian Grand Prix,maldonado,Lotus,Renault,0,NA
2014,Hungarian Grand Prix,kvyat,Toro Rosso,Renault,0,85.361
2014,Hungarian Grand Prix,jules_bianchi,Marussia,Ferrari,0,86.72800000000001
2014,Hungarian Grand Prix,chilton,Marussia,Ferrari,0,87.819
2014,Hungarian Grand Prix,gutierrez,Sauber,Ferrari,0,85.709
2014,Hungarian Grand Prix,kobayashi,Caterham,Renault,0,87.139
2014,Hungarian Grand Prix,perez,Force India,Mercedes,0,85.91
2014,Hungarian Grand Prix,hulkenberg,Force India,Mercedes,0,86.149
2014,Hungarian Grand Prix,grosjean,Lotus,Renault,0,86.136
2014,Hungarian Grand Prix,ericsson,Caterham,Renault,0,88.643
2014,Belgian Grand Prix,ricciardo,Red Bull,Renault,0,130.089
2014,Belgian Grand Prix,rosberg,Mercedes,Mercedes,1,127.13
2014,Belgian Grand Prix,bottas,Williams,Mercedes,0,129.25
2014,Belgian Grand Prix,raikkonen,Ferrari,Ferrari,1,129.885
2014,Belgian Grand Prix,vettel,Red Bull,Renault,0,130.105
2014,Belgian Grand Prix,button,McLaren,Mercedes,0,130.529
2014,Belgian Grand Prix,alonso,Ferrari,Ferrari,1,130.197
2014,Belgian Grand Prix,perez,Force India,Mercedes,0,130.666
2014,Belgian Grand Prix,kvyat,Toro Rosso,Renault,0,130.445
2014,Belgian Grand Prix,hulkenberg,Force India,Mercedes,0,131.267
2014,Belgian Grand Prix,vergne,Toro Rosso,Renault,0,129.811
2014,Belgian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,131.081
2014,Belgian Grand Prix,massa,Williams,Mercedes,0,128.403
2014,Belgian Grand Prix,sutil,Sauber,Ferrari,0,131.051
2014,Belgian Grand Prix,gutierrez,Sauber,Ferrari,0,133.414
2014,Belgian Grand Prix,chilton,Marussia,Ferrari,0,132.566
